stfips,areatype,area,,areadigest,County,Combined FIPS,Year,periodtype,period,County Distress Ranking Tier,Select date,longdate
37,4,001,371,EC36BAD165F89609714F9A6D11CA4FDF,Alamance County,37001,2016,1,0,2,Annual~2016,Annual
37,4,003,,0F4B781B16D2C2EDA3F166CC004A6CAA,Alexander County,37003,2016,1,0,2,Annual~2016,Annual
37,4,005,,C6B80FE16E9CA426FE6F3C3B2CF8423B,Alleghany County,37005,2016,1,0,1,Annual~2016,Annual
37,4,007,,7BC04140758C3D080007E323F4DD1EDD,Anson County,37007,2016,1,0,1,Annual~2016,Annual
37,4,009,,5070FA5EE0F223FE5221F0507852923C,Ashe County,37009,2016,1,0,1,Annual~2016,Annual
37,4,011,,342E0E5CBF7D161B1C7057ADC3988A37,Avery County,37011,2016,1,0,2,Annual~2016,Annual
37,4,013,,4B6E16284B071EF11452B9B10AE14877,Beaufort County,37013,2016,1,0,1,Annual~2016,Annual
37,4,015,,A52D77875E2697FDF18E29771DA2F77B,Bertie County,37015,2016,1,0,1,Annual~2016,Annual
37,4,017,,2E64DE05BC6A1E5722B127000F1A2520,Bladen County,37017,2016,1,0,1,Annual~2016,Annual
37,4,019,,C73ACDDBE174F43E667744CC678A2D20,Brunswick County,37019,2016,1,0,3,Annual~2016,Annual
37,4,021,,B507D5CEF31A69B9D3B9EEA1239DD8D5,Buncombe County,37021,2016,1,0,3,Annual~2016,Annual
37,4,023,,A1B7221E2D4B86CF6E3CF74D483570DA,Burke County,37023,2016,1,0,2,Annual~2016,Annual
37,4,025,,6C27537D47C796E7C6E148D26770D4D3,Cabarrus County,37025,2016,1,0,3,Annual~2016,Annual
37,4,027,,5FF5FEF03E1D9C5CA96922315F53DD87,Caldwell County,37027,2016,1,0,1,Annual~2016,Annual
37,4,029,,4A95ACA0F661AA86682C0BEBA0FA2801,Camden County,37029,2016,1,0,1,Annual~2016,Annual
37,4,031,,0FDC92BC7A27B54CD79ACCD77A10626B,Carteret County,37031,2016,1,0,3,Annual~2016,Annual
37,4,033,,4FA57D615B8F52A2A14730FBF88DEB35,Caswell County,37033,2016,1,0,1,Annual~2016,Annual
37,4,035,,E35CAD1E1D4AA4452F92E26E158DFCAE,Catawba County,37035,2016,1,0,2,Annual~2016,Annual
37,4,037,,49970079BF773D77F92D0DAB660AD220,Chatham County,37037,2016,1,0,3,Annual~2016,Annual
37,4,039,,A1A9B716F811A068771DDDDEA6094CF5,Cherokee County,37039,2016,1,0,2,Annual~2016,Annual
37,4,041,,ACF895708DC9F87585972CD83A1C5625,Chowan County,37041,2016,1,0,1,Annual~2016,Annual
37,4,043,,30F1E32F09CEF737658ED66DFCC2392C,Clay County,37043,2016,1,0,1,Annual~2016,Annual
37,4,045,,DB274672365B86E6B88A93D915165EEE,Cleveland County,37045,2016,1,0,2,Annual~2016,Annual
37,4,047,,58E3D9FE438D7E49CE9381D2E375B300,Columbus County,37047,2016,1,0,1,Annual~2016,Annual
37,4,049,,E397E9605B5BCC98407F60406A089790,Craven County,37049,2016,1,0,2,Annual~2016,Annual
37,4,051,,6CB5FA0E6AAD08EBB13403D7D0ECE94F,Cumberland County,37051,2016,1,0,2,Annual~2016,Annual
37,4,053,,6B6E4EE495E80339C4BF21E20C16BF65,Currituck County,37053,2016,1,0,2,Annual~2016,Annual
37,4,055,,CA642DD2636AFFD9D069F670DDA9EB7C,Dare County,37055,2016,1,0,2,Annual~2016,Annual
37,4,057,,31A64B06F283BF5CCBBAA5195CD0774E,Davidson County,37057,2016,1,0,2,Annual~2016,Annual
37,4,059,,61D99312F3746E37749AD2BEA80BC255,Davie County,37059,2016,1,0,2,Annual~2016,Annual
37,4,061,,269E48B7136509E18E38D573A938DB97,Duplin County,37061,2016,1,0,2,Annual~2016,Annual
37,4,063,,097EE0D97EB603DF5E0E22FA2A255DA2,Durham County,37063,2016,1,0,3,Annual~2016,Annual
37,4,065,,6861068A8BD93F5DC20F1E548D3E2F92,Edgecombe County,37065,2016,1,0,1,Annual~2016,Annual
37,4,067,,A7ABF3D779837A5D1EFC51138B4AD758,Forsyth County,37067,2016,1,0,3,Annual~2016,Annual
37,4,069,,53DB9B19EAE153C6567105749406DA35,Franklin County,37069,2016,1,0,2,Annual~2016,Annual
